ID,Name,Yes,No
1,抑郁心境,0,0
2,由于某种物质(包括药物)的生理效应所致,3,6
3,抑郁症状为主要临床表现并严重到需要临床关注,4,5
4,物质/药物所致的抑郁障碍,0,0
5,物质中毒，物质戒断，其他的药物不良反应,0,0
6,由于某种一般躯体疾病的生理效应所致,7,10
7,与以下一个或更多认知领域下降的证据有关: 复杂注意、执行功能、学习和记忆、语言、知觉运动或社会认知,8,9
8,由于其他躯体疾病所致的重度或轻度神经认知障碍，伴行为紊乱,0,0
9,由于其他躯体疾病所致的抑郁障碍,0,0
10,至少2周的抑郁心境或兴趣减退附加相关的特征性症状(如体重和食欲改变、睡眠改变、疲乏、自杀想法),11,14
11,同时符合躁狂发作的诊断标准(即至少1周的心境高涨、膨胀或易激惹伴有精力增加和其他特征性症状严重到引起明显的损害),13,12
12,重性抑郁发作,14,14
13,躁狂发作，伴混合特征,14,14
14,有临床意义的躁狂或轻躁狂症状,15,30
15,符合躁狂发作的诊断标准(即至少1周的心境高涨、膨胀或易激惹伴有活动或精力增加及其他特征性症状严重到引起明显的损害),16,21
16,妄想或幻觉史,18,17
17,双相Ⅰ型障碍,0,0
18,精神病性症状仅出现在躁狂或重性抑郁发作期间,19,20
19,双相I 型障碍伴精神病性特征,0,0
20,精神分裂症谱系或其他精神病性障碍[参见用于鉴别诊断的妄想树形图或幻觉树形图 ],0,0
21,符合轻躁狂发作的诊断标准(即至少4天的心境高涨、膨胀或易激惹伴有活动或精力增加及其他特征性症状，但尚未严重到引起明显的损害)并在其他时候符合重性抑郁发作的诊断标准,22,27
22,妄想或幻觉史,24,23
23,双相Ⅱ型障碍,0,0
24,精神病性症状仅出现在重性抑郁发作期间,25,26
25,双相Ⅱ型障碍伴精神病性特征,0,0
26,精神分裂症谱系或其他精神病性障碍[参见用于鉴别诊断的妄想树形图或幻觉树形图],0,0
27,2年以上的轻躁狂症状和周期性抑郁心境,28,29
28,环性心境障碍,0,0
29,其他特定的双相及相关障碍，未特定的双相及相关障碍,0,0
30,一次或更多次的重性抑郁发作，无躁狂或轻躁狂发作,31,40
31,妄想或幻觉史,35,32
32,发作病程为2年或是更长,33,34
33,重性抑郁障碍加上持续性抑郁障碍,0,0
34,重性抑郁障碍,0,0
35,精神病性症状仅出现在重性抑郁发作期间,36,39
36,发作病程为2年或更长,37,38
37,重性抑郁障碍，伴精神病性特征，加上持续性抑郁障碍,0,0
38,重性抑郁障碍，伴精神病性特征,0,0
39,精神分裂症谱系或其他精神病性障碍[参见用于鉴别诊断的安想树形图或幻觉树形图 ],0,0
40,抑郁心境在至少2年的多数日子里出现，并伴有相关症状,41,42
41,持续性抑郁障碍,0,0
42,抑郁心境规律地在月经开始前1周出现并在月经结束后的1周消失，与有临床意义的痛苦有关或干扰到工作、学业、日常社交活动或与他人的关系,43,44
43,经前期烦躁障碍,0,0
44,抑郁或烦躁心境作为其他精神障碍的有关特征(如对患有强迫症感到“意志消沉”),45,47
45,有临床意义的心境絮乱,46,48
46,其他特定的抑郁障碍，未特定的抑郁障碍,0,0
47,上述未涵盖的有临床意义的抑郁症状代表了个体在心理上或生物学上的功能失调,48,51
48,对心理社会应激源适应不良的反应,49,50
49,适应障碍伴抑郁心境,0,0
50,其他特定的抑郁障碍，未特定的抑郁障碍,0,0
51,“正常的”日常忧郁,0,0
