ID,Name,Yes,No
1,自杀观念或行为,0,0
2,无死亡愿望的自伤行为,3,4
3,不是自杀行为[参见用于鉴别诊断的自伤或自残树形图],0,0
4,与妄想(如被魔鬼附体的妄想性坚信)相关或是对命令性幻觉的反应,5,6
5,精神病性障碍[如精神分裂症]。参见用于鉴别诊断的妄想树形图或幻觉树形图,0,0
6,发生在有临床意义的抑郁症状的背景下，不伴有任何躁狂症状,7,17
7,抑郁症状是由于某种一般是躯体疾病的生理效应所致,8,9
8,由于其他躯体疾病所致的抑郁障碍,0,0
9,抑郁症状是由于某种物质(包括药物)的生理效应所致,10,11
10,物质/药物所致的抑郁障碍,0,0
11,发生在抑郁心境或者兴趣或愉悦感减退的背景下，伴有特征性的抑郁症状,12,13
12,重性抑郁障碍、双相I型障碍或双相II型障碍，或分裂情感性障碍中的重性抑郁发作,0,0
13,抑郁心境存在于至少2年的大多数日子里,14,15
14,持续性抑郁障碍,0,0
15,抑郁心境规律地在月经开始前l周出现并在月经结束后的1周消失,16,17
16,经前期烦躁障碍,0,0
17,发生在躁狂和抑郁症状混合的背景下,18,24
18,躁狂和抑郁症状是由于某种一般躯体疾病的生理效应所致,19,20
19,由于其他躯体疾病所致的双相障碍,0,0
20,躁狂和抑郁症状是由于某种物质(包括药物)的生理效应所致,21,22
21,物质 /药物所致的双相障碍,0,0
22,发生在抑郁心境或者兴趣或愉悦感减退的背景下，伴有特征性的抑郁症状,23,24
23,在双相I型障碍中的躁狂发作伴混合特征,0,0
24,与神经认知障碍中的意识错乱或缺乏判断力有关,25,29
25,与注意和意识的紊乱有关，以波动性病程为特征,26,27
26,由于其他躯体疾病所致的谵妄，物质中毒性谵妄，物质戒断性谵妄，药物所致的谵妄,0,0
27,与以下一个或更多认知领域下降的证据有关:复杂注意、执行功能、学习和记忆、语言、知觉运动或社会认知,28,29
28,由于其他躯体疾病所致的重度神经认知障碍，物质/药物所致的重度神经认知障碍,0,0
29,与物质中毒或物质戒断或药物副作用相关的脱抑制、失语或意识错乱,30,31
30,物质中毒，物质戒断，其他的药物不良反应,0,0
31,与严重的、反复的脾气爆发有关，与所受到的挑衅严重不相称;在爆发间期有持续的愤怒、易激惹心境;并起病于10岁前,32,33
32,破坏性心境失调障碍,0,0
33,与易激惹、攻击性、冲动性和/或法律问题相关,34,35
34,品行障碍，反社会型人格障碍,0,0
35,与一种害怕被抛弃、强烈愤怒和冲动控制不佳的慢性模式相关,36,37
36,边缘型人格障碍,0,0
37,自杀观念或行为是伪装的,38,39
38,做作性障碍，诈病,0,0
39,发生在与某种精神障碍或一般躯体疾病有关的严重意志消沉的背景下,40,41
40,精神障碍加上第三部分的自杀行为障碍,0,0
41,作为对心理社会应激源的反应出现并且行为不能用其他特定的精神障碍来解释,42,43
42,适应障碍,0,0
43,不必诊断精神障碍(如想要了结不治之症或其后果),0,0
