ID,Name,Yes,No
1,精神运动性迟滞,0,0
2,由于某种物质(包括药物)的直接效应所致,3,12
3,与神经阻滞剂的使用相关,4,5
4,神经阻滞剂所致的帕金森氏综合征，神经阻滞剂恶性综合征,0,0
5,与注意和意识的紊乱有关，以波动性病程为特征,6,7
6,物质中毒性谵妄，活动减退型;物质戒断性谵妄，活动减退型;药物所致的谵要，活动减退型,0,0
7,与以下一个或更多认知领域下降的证据有关:复杂注意、执行功能、学习和记忆、语言、知觉运动或社会认知,8,9
8,物质/药物所致的重度神经认知障碍,0,0
9,发生在有严重抑郁症状的背景下,10,11
10,物质 /药物所致的抑郁障碍,0,0
11,物质中毒，物质戒断，其他的药物不良反应,0,0
12,由于某种一般躯体疾病的生理效应所致,13,22
13,与注意和意识的紊乱有关，以波动性病程为特征,14,15
14,由于其他躯体疾病所致的谵妄，活动减退型,0,0
15,与以下一个或更多认知领域下降的证据有关:复杂注意、执行功能、学习和记忆、语言、知觉运动或社会认知,16,17
16,由于其他躯体疾病所致的重度神经认知障碍,0,0
17,紧张症性缄默加上至少两个其他的紧张症症状,18,19
18,由于其他躯体疾病所致的紧张症障碍,0,0
19,发生在有严重抑郁症状的背景下,20,21
20,由于其他躯体疾病所致的抑郁障碍,0,0
21,一般躯体疾病的症状(如甲状腺功能低下),0,0
22,与至少两个特征性的紧张症症状有关(如僵住、蜡样屈曲、违扭、摆姿势、刻板运动、模仿言语),23,24
23,紧张症[参见用于鉴别诊断的紧张症症状树形图],0,0
24,发生在抑郁心境或者兴趣或愉悦感减退的背景下，伴有特征性的抑郁症状,25,26
25,重性抑郁障碍、双相I型障碍或双相II型障碍，或分裂情感性障碍中的重性抑郁发作,0,0
26,与妄想、幻觉或言语瓦解有关,27,28
27,精神分裂症谱系或其他精神病性障碍[参见用于鉴别诊断的妄想树形图、幻觉树形图或言语紊乱树形图了,0,0
28,精神运动活动的“正常”变异,0,0
