ID,Name,Yes,No
1,焦虑,0,0
2,由于某种物质( 包括药物)的生理效应所致,3,8
3,与注意和意识的紊乱有关，以波动性病程为特征,4,5
4,物质中毒性谵妄，物质戒断性谵妄，药物所致的谵妄,0,0
5,焦虑症状为主要临床表现并严重到需要临床关注,6,7
6,物质 /药物所致的焦虑障碍,0,0
7,物质中毒，物质戒断，其他的药物不良反应,0,0
8,由于某种一般躯体疾病的生理效应所致,9,14
9,与注意和意识的紊乱有关，以波动性病程为特征,10,11
10,由于其他躯体疾病所致的谵妄,0,0
11,与以下一个或更多认知领域下降的证据有关:复杂注意、执行功能、学习和记忆、语言、知觉运动或社会认知,12,13
12,由于其他躯体疾病所致的重度或轻度神经认知障碍，伴行为紊乱,0,0
13,由于其他躯体疾病所致的焦虑障碍,0,0
14,突然发生的强烈的害怕和不适，在数分钟内达到高峰,15,16
15,惊恐发作或有限症状发作[参见用于鉴别诊断的惊恐发作树形图],16,16
16,反复、不可预期的有临床意义的惊恐发作,17,18
17,惊恐障碍,0,0
18,担心在某些地方出现惊恐发作或惊恐样症状时难以逃脱或令人尴尬，没有更广泛的担心,19,20
19,场所恐怖症,0,0
20,对与主要依恋对象分开感到焦虑或担心，没有更广泛的担心,21,22
21,分离焦虑障碍,0,0
22,对暴露于受他人审视的社交情境感到焦虑或担心，没有更广泛的担心,23,24
23,社交焦虑障碍,0,0
24,对暴露于可怕的物体(如蜘蛛)或情境(如接受注射、飞行)感到焦虑,25,26
25,特定恐怖症,0,0
26,对健康和患有或获得某种严重疾病感到焦虑，没有更广泛的担心,27,32
27,躯体症状令人痛苦,28,29
28,躯体症状障碍,0,0
29,对严重躯体疾病的信念达到安想的强度,31,30
30,疾病焦虑障碍,0,0
31,精神病性障碍[参见用于鉴别诊断的妄想树形图 ],0,0
32,对丢弃或放弃个人物品感到焦虑，导致积聚的物品堆满生活区域,33,34
33,囤积障碍,0,0
34,对臆想的外貌缺陷感到焦虑或担心,35,36
35,躯体变形障碍,0,0
36,焦虑与反复出现的担心、想法或思维反刍有关,37,41
37,反复出现的想法被体验为侵入性的、不需要的和自我排斥的,38,39
38,强迫症,0,0
39,对多个事件或情境的过度担心和焦虑，持续至少6个月,40,41
40,广泛性焦虑障碍,0,0
41,焦虑与暴露于严重的创伤性应激源有关,42,46
42,有侵人症状、问避与创伤是、性应激源有关的刺激、认知和心境的负性改变、以及警觉性和活动的改变,43,46
43,病程超过1个月,44,45
44,创伤后应激障碍,0,0
45,急性应激障碍,0,0
46,与躁狂发作、轻躁狂发作或重性抑郁发作有关的焦虑,47,48
47,在重性抑郁，双相I型障碍或双相Ⅱ型障碍中的重性抑郁发作伴焦虑特征，在双相I型障碍中的躁狂发作伴焦虑特征，在双相Ⅰ型或双相Ⅱ型障碍中的轻躁狂发作伴焦虑特征,0,0
48,上述未涵盖的有临床意义的焦虑代表了个体在心理上或生物学上的功能失调,49,52
49,作为对心理社会应激源的反应出现,50,51
50,适应障碍伴焦虑,0,0
51,其他特定的焦虑障碍，未特定的焦虑障碍,0,0
52,“正常的”焦虑,0,0
