ID,Name,Yes,No
1,惊恐发作,0,0
2,由于某种物质(包括药物)的生理效应所致,3,6
3,惊恐发作为主要临床表现并严重到需要临床关注,4,5
4,物质/药物所致的焦虑障碍,0,0
5,物质中毒，物质戒断，其他的药物不良反应,0,0
6,由于某种一般躯体疾病的生理效应所致,7,8
7,由于其他躯体疾病所致的焦虑障碍，伴惊恐发作,0,0
8,反复的、不可预期的惊恐发作，伴有至少1个月的担心或适应不良的行为改变,9,10
9,惊恐障碍,0,0
10,惊恐发作的诱因是害怕在社交场合中的尴尬,11,12
11,社交焦虑障碍伴惊恐发作,0,0
12,惊恐发作的诱因是害怕特定的物体(如蜘蛛)或情境(如高处、看见血液),13,14
13,特定恐怖症伴惊恐发作,0,0
14,惊恐发作的诱因是害怕与主要依恋对象分离,15,16
15,分离焦虑障碍伴惊恐发作,0,0
16,惊恐发作的诱因是暴露于与先前创伤经历相似的情境，同时有侵人症状、回避与创伤性应激源有关的刺激、认知和心境的负性改变，以及警觉性和活动的改变,17,20
17,病程超过1个月,18,19
18,创伤后应激障碍伴惊恐发作,0,0
19,急性应激障碍批伴惊恐发作,0,0
20,惊恐发作的诱因是认为存在严重疾病的威胁,21,22
21,疾病焦虑障碍伴惊恐发作,0,0
22,惊恐发作的诱因是暴露于强迫性忧虑的关注点(如对污染有强迫思维的个体接触到灰尘),23,24
23,强迫症伴惊恐发作,0,0
24,惊恐发作的诱因是对许多事件或活动，如工作或学校表现，过度的焦虑和担心,25,26
25,广泛性焦虑障碍伴惊恐发作,0,0
26,上述未涵盖的有临床意义的周期性焦虑代表了个体在心理上或生物学上的功能失调,27,30
27,作为对应激源的反应出现,28,29
28,适应障碍伴焦虑,0,0
29,其他特定的焦虑障碍，未特定的焦虑障碍,0,0
30,“正常的”与背景相符的惊恐发作(如对严重威胁的即刻反应),0,0
