ID,Name,Yes,No
1,回避行为,0,0
2,回避两个或更多类型的情境(即公共交通、开放的空间、封闭的空间、排队或在人群中、独自外出),3,5
3,对这些情境的问避是由于想到出现惊恐样症状时可能难以逃脱或可能无法获得帮助,4,5
4,场所恐怖症,0,0
5,因为害怕尴尬而回避社交情境,6,11
6,对患有其他躯体疾病(如帕金森氏病)感到尴尬,8,7
7,社交焦虑障碍[还要 考虑回避型人格障碍],0,0
8,害怕、焦虑或回避是过度的,10,9
9,无精神障碍(情境式焦虑),0,0
10,社交焦虑障碍[还要考虑回避型人格障碍],0,0
11,回避特定的让人害怕的物体(如蜘蛛)或情境(如高处、看见血液),12,13
12,特定恐怖症,0,0
13,个体回避与主要依恋对象产生分离的情境,14,15
14,分离焦虑障碍,0,0
15,回避与创伤性事件有关的刺激,16,19
16,病程超过1个月,17,18
17,创伤后应激障碍,0,0
18,急性应激障碍,0,0
19,回避可能促发强迫思维或强迫行为的刺激(如污染、小刀),20,21
20,强迫症,0,0
21,回避可能危害健康的情境(如拜访生病的家庭成员)，因为这些情境会导致对严重疾病的先占观念,22,23
22,疾病焦虑障碍,0,0
23,回避与妄想性害怕相关的情境(如不离开家是因为个体坚信自己是某个谋杀计划的目标),24,25
24,精神病性障碍[如，精神分裂症]心参见用于鉴别诊断的妄想树形图,0,0
25,因为担心性活动表现不佳而回避与性有关的情境,26,27
26,性功能失调,0,0
27,回避食物，导致显著的体重减轻,28,31
28,伴有对体重增加或变胖的强烈恐惧,29,30
29,神经性厌食,0,0
30,回避性/限制性摄食障碍,0,0
31,与害怕负性评价相关的回避模式，起病于成年早期,32,33
32,回避型人格障碍,0,0
33,上述未涵盖的有临床意义的回避代表了个体在心理上或生物学上的功能失调,34,37
34,作为对应激源的反应出现,35,36
35,适应障碍,0,0
36,其他特定的焦虑障碍，未特定的焦虑障碍,0,0
37,“正常的”回避行为,0,0
