ID,Name,Yes,No
1,病因涉及创伤或心理社会应激源,0,0
2,暴露于创伤性应激源(如，危及生命的情境),3,7
3,特征性的反应为存在侵人症状、问避与事件有关的刺激、认知和心境的负性改变以及警觉性和活动的改变,4,7
4,持续至少1个月,5,6
5,创伤后应激障碍,0,0
6,急性应激障碍,0,0
7,有极度缺乏照料的历史，例如持续的社交忽视或剥夺、主要照料者的反复变更或成长环境严重限制了选择性依恋关系的形成,8,12
8,对成人照料者表现出抑制性的情感退缩行为模式并有持续的社交和情绪紊乱(如很少有情感反应，原因不明的易激惹、悲伤或害怕),9,10
9,反应性依恋障碍,0,0
10,一种与陌生成年人接近中缺乏含蓄的模式，表现出过于随便的言语或肢体行为，而且愿意与陌生成年人一起离开,11,12
11,脱抑制性社交参与障碍,0,0
12,精神病性症状作为对显著应激源的反应，持续不到1个月,13,14
13,短暂精神病性障碍伴显著的应激源,0,0
14,在暴露于应激源后，无法回忆起重要的个人信息,15,16
15,分离性遗忘症,0,0
16,在暴露于应激源后，出现自主运动或感觉功能发生改变的症状,17,18
17,转换障碍伴心理应激源,0,0
18,应激源是所爱之人的死亡,19,21
19,持续的渴望/想念逝者，剧烈的悲伤和痛苦，沉湎于逝者或死亡时的情境，持续至少12个月,20,21
20,第三部分: 持续性复杂丧痛障碍,0,0
21,症状是对应激源的反应，符合某种特定的精神障碍的诊断标准(而非适应障碍),22,23
22,特定的精神障碍(如重性抑郁障碍),0,0
23,适应不良的反应并超出预期水平,24,25
24,适应障碍,0,0
25,对应激源的“正常”反应,0,0
