ID,Name,Yes,No
1,躯体主诉或疾病/外貌焦虑,0,0
2,躯体症状是故意产生或伪装的,3,6
3,即使在没有明显外部奖赏的情况下，欺骗行为也非常明显,4,5
4,做作性障碍,0,0
5,诈病,0,0
6,由于某种物质(包括药物)的直接生理效应所致,7,8
7,物质中毒，物质戒断，其他的药物不良反应,0,0
8,与涉及身体功能或感觉的妄想有关,9,10
9,精神病性障碍[参见用于鉴别诊断的妄想树形图],0,0
10,出现影响自主运动或感觉功能的症状或缺陷，不能用神经系统或其他医学疾病或精神障碍来更好地解释,11,12
11,转换障碍,0,0
12,沉湎于臆想的身体外貌上的缺陷或瑕疵，但他人观察不到,13,14
13,躯体变形障碍,0,0
14,作为突发的强烈害怕或不适表现的一部分，在数分钟内达到高峰,15,16
15,惊恐发作[参见用于鉴别诊断的惊恐发作树形图],0,0
16,躯体症状(如口干、心悸)伴随焦虑，是某种焦虑障碍表现的一部分,17,18
17,焦虑障碍[参见用于鉴别诊断的焦虑树形图],0,0
18,对健康的高度焦虑,19,25
19,伴有一个或多个令人痛苦或扰乱日常生活的躯体症状,20,21
20,躯体症状障碍,0,0
21,沉湎于患有或获得某种严重疾病,22,25
22,对患有严重疾病的信念达到妄想的强度,23,24
23,精神病性障碍[参见用于鉴别诊断的妄想树形图],0,0
24,疾病焦虑障碍,0,0
25,有一个或多个令人痛苦或扰乱日常生活的躯体症状,26,31
26,伴有与疾病严重性不相称的想法或对症状投人过多的时间和精力,27,28
27,躯体症状障碍,0,0
28,存在一般躯体疾病，及负性影响躯体疾病的心理因素,29,30
29,影响其他躯体疾病的心理因素,0,0
30,一般躯体疾病(无精神障碍的诊断),0,0
31,有临床意义的躯体主诉干扰了功能并代表了个体在心理上的功能失调,32,35
32,作为对心理社会应激源的是反应出现,33,34
33,适应障碍,0,0
34,其他特定的躯体症状及相关障碍，未特定的躯体症状及相关障碍,0,0
35,“正常的”日常疼痛和痛苦,0,0
