ID,Name,Yes,No
1,失眠,0,0
2,由于某种物质(包括药物)的生理效应所致,3,6
3,失眠是主要临床表现并严重到需要临床关注,4,5
4,物质/药物所致的睡眠障碍，失眠型,0,0
5,物质中毒，物质戒断，其他的药物不良反应,0,0
6,反复发生不可抗拒的睡眠需要伴猝倒发作、下丘脑分泌素缺乏、典型的夜间多导睡眠图发现或典型的多次睡眠潜伏期测试发现,7,9
7,失眠仅出现在发作性睡病期间，并可用这一诊断更好地解释,8,9
8,发作性睡病,0,0
9,伴有以下多导睡眠图的证据，即每小时睡眠至少有五次阻塞性呼吸暂停或低通气，每小时睡眠至少有五次中枢性呼吸暂停，或与C02水平升高有关的呼吸次数减少,10,12
10,失眠仅出现在与呼吸相关的睡眠障碍期间，并可用这一诊断更好地解释,11,12
11,与呼吸相关的睡眠障碍(即阻塞性睡眠呼吸暂停低通气中枢性睡眠呼吸暂停、睡眠相关的通气不足),0,0
12,由于睡行或睡惊症状所致,13,15
13,失眠仅出现在非快速眼动睡眠唤醒障碍期间，并可用这一诊断更好地解释,14,15
14,非快速眼动睡眠唤醒障碍,0,0
15,由于存在延长的、极端令人烦躁和记忆完好的梦境而反复觉醒,16,18
16,失眠仅出现在梦魇障碍期间，并可用这一诊断更好地解释,17,18
17,梦魔障碍,0,0
18,睡眠期间反复从快速眼动睡眠中觉醒，伴有发声或复杂的运动行为,19,21
19,失眠仅出现在快速眼动睡眠行为障碍期间，并可用这一诊断更好地解释,20,21
20,快速眼动睡眠行为障碍,0,0
21,由于存在移动双腿的冲动，对不愉快的感觉做出反应,22,24
22,失眠仅出现在不安腿综合征期间，并可用这一诊断更好地解释,23,24
23,不安腿综合征,0,0
24,由于个体的时间表和自然的睡眠觉醒模式之间不匹配,25,27
25,失眠仅出现在昼夜节律睡眠障碍期间，并可用这一诊断更好地解释,26,27
26,昼夜节律睡眠一觉醒障碍(即，延迟睡眠时相型、提前睡眠时相型、不规律的睡眠-觉醒型、非24小时睡眠-觉醒型、倒班工作型、未特定型),0,0
27,共病以失眠为特征的精神障碍(如重性抑郁障碍),28,30
28,失眠可以用精神障碍充分解释,29,30
29,与失眠有关的精神障碍,0,0
30,共病与失眠有关的一般躯体疾病(如背痛),31,33
31,失眠可以用一般躯体疾病是充分解释,32,33
32,与失眠有关的一般躯体疾病,0,0
33,缺乏充分的睡眠条件,34,35
34,无睡眠障碍,0,0
35,每周至少出现3晚，持续至少3个月,36,37
36,失眠障碍,0,0
37,引起有临床意义的痛苦或损害并代表了个体在心理上或生物学上的功能失调,38,40
38,失眠作为对心理社会应激源适应不良的反应出现,39,41
39,适应障碍,0,0
40,对睡眠的“正常”需要(如“短睡眠者”),0,0
41,其他特定的失眠障碍，未特定的失眠障碍,0,0
