ID,Name,Yes,No
1,不良学校表现,0,0
2,与智力功能缺陷(通过临床评估和智力测验确认)和适应功能的缺陷有关，起病于发育期,3,4
3,智力障碍(智力发育障碍) ,0,0
4,发生与言语和非言语交流的社交使用缺陷有关,5,8
5,伴有发展和理解人际关系的缺陷，社交情感互动中的缺陷，以及受限、重复的行为、兴趣或活动模式,6,7
6,自闭症谱系障碍,0,0
7,社交(语用)交流障碍,0,0
8,发生在有学习和使用学术技能困难的背景下,9,10
9,特定学习障碍,0,0
10,发生在有持续的语言习得和使用困难的背景下,11,12
11,语言障碍,0,0
12,与在学校不能说话相关(尽管在家能够说话),13,14
13,选择性缄默症,0,0
14,与注意力不集中和多动症状有关，起病于12岁之前并有干扰功能的明确证据,15,16
15,注意缺陷/多动障碍,0,0
16,与严重的脾气爆发模式有关，完全与所处情境不成比例，伴有爆发间期的持续性愤怒和易激惹,17,16
17,破坏性心境失调障碍,0,0
18,与反社会行为模式有关,19,20
19,品行障碍,0,0
20,与对抗、敌意和违拗的行为模式有关,21,22
21,对立违抗障碍,0,0
22,与过度的物质使用相关,23,24
23,物质使用障碍,0,0
24,拒绝上学，与害怕分离相关,25,26
25,分离焦虑障碍,0,0
26,干扰学校表现的其他焦虑、心境、精神病性或其他障碍,26,27
27,表明特定的障碍[如，精神分裂症，重性抑郁障碍],0,0
28,对心理社会应激源适应不良的反应,29,30
29,适应障碍,0,0
30,与精神障碍无关(如不良的工作习惯、破坏性环境),0,0
