ID,Name,Yes,No
1,女性性功能失调,0,0
2,完全可以解释为缺乏充分的刺激,3,4
3,不是性功能失调,0,0
4,由于某种一般躯体疾病(如骨盆神经受损)的生理效应所致,5,6
5,由一般躯体疾病引起的性功能失调,0,0
6,由于某种物质(包括药物)的生理效应所致,7,10
7,性功能失调症状是主要临床表现并严重到需要临床关注,8,9
8,物质/ 药物所致的性功能失调,0,0
9,物质中毒，物质戒断，其他的药物不良反应,0,0
10,可以用其他精神障碍(如重性抑郁障碍)来更好地解释,11,12
11,精神障碍的诊断(不必额外诊断性功能失调),0,0
12,可以更好地解释为严重关系困扰的后果,13,14
13,关系问题,0,0
14,由性兴趣或唤起的程度显著降低(即兴趣减退、情色想法减少、发起性活动的次数减少，在性活动中兴奋度或愉悦感降低，在性活动中生殖器的感觉减退)，持续至少6个月并引起有临床意义的痛苦于某种物质(包括药物)的生理效应所致,15,17
15,发生在“欲望差异”的背景下，女性对性活动的兴趣比其性伴侣要低,16,17
16,女性性兴趣/唤起障碍,0,0
17,性高潮的显著延迟、极少或达不到性高潮或是性高潮感觉的强度降低，持续至少6个月并引起有临床意义的痛苦,18,19
18,女性性高潮障碍,0,0
19,难以进行阴道性交或插人。或在性交时有外阴阴道或盆腔疼痛，对外阴阴道的疼痛感到害怕或焦虑，或在尝试插人时盆底肌肉紧张或僵硬，持续至少6个月并引起有临床意义的痛苦,20,21
20,女生殖器盆腔痛/插入障碍性性高潮障碍,0,0
21,上述未涵盖的有临床意义的性功能失调代表了个体在生物学上或心理上的功能失调,22,25
22,作为对心理社会应激源的反应出现,23,24
23,适应障碍,0,0
24,其他特定的性功能失调，未特定的性功能失调,0,0
25,性功能的“正常”变异,0,0
