ID,Name,Yes,No
1,男性性功能失调,0,0
2,完全可以解释为缺乏充分的刺激,3,4
3,不是性功能失调,0,0
4,由于某种一般躯体疾病(如骨盆神经受损)的生理效应所致,5,6
5,由一般躯体疾病引起的性功能失调,0,0
6,由于某种物质(包括药物)的生理效应所致,7,10
7,性功能失调症状是主要临床表现并严重到需要临床关注,8,9
8,物质/ 药物所致的性功能失调,0,0
9,物质中毒，物质戒断，其他的药物不良反应,0,0
10,可以用其他精神障碍(如重性抑郁障碍)来更好地解释,11,12
11,精神障碍的诊断(不必额外诊断性功能失调),0,0
12,可以更好地解释为严重关系困扰的后果,13,14
13,关系问题,0,0
14,缺乏对性或情色的想法、幻想和对性活动的欲望，持续至少6个月并引起有临床意义的痛苦,15,17
15,发生在“欲望差异”的背景下，男性对性活动的兴趣比其性伴侣要低,16,17
16,男性性欲低下障碍,0,0
17,性活动时明显难以达到或维持勃起，持续至少6个月并引起有临床意义的痛苦,18,19
18,勃起障碍,0,0
19,在与性伴侣的性活动中，在插入阴道后1分钟内并在个体的意愿之前出现射精，持续至少6个月并引起有临床意义的痛苦,20,21
20,早泄,0,0
21,显著的射精延迟或是极少或没有射精，持续至少6个月并引起有临床意义的痛苦,22,23
22,延迟射精,0,0
23,上述未涵盖的有临床意义的性功能失调代表了个体在生物学上或心理上的功能失调,24,27
24,作为对心理社会应激源的反应出现,25,26
25,适应障碍,0,0
26,其他特定的性功能失调，未特定的性功能失调,0,0
27,性功能的“正常”变异,0,0
