ID,Name,Yes,No
1,攻击行为,0,0
2,由于某种物质(包括药物)的生理效应所致,3,8
3,与注意和意识的紊乱有关，以波动性病程为特征,5,4
4,物质中毒性谵妄，物质戒断性谵安，药物所致的谵妄,0,0
5,与以下一个或更多认知领域下降的证据有关:复杂注意、执行功能、学习和记忆、语言、知觉运动或社会认知,6,7
6,物质/药物所致的重度或轻度神经认知障碍，伴行为紊乱,0,0
7,物质中毒，物质戒断，其他的药物不良反应,0,0
8,由于一般躯体疾病的生理效应所致,9,16
9,与注意和意识的紊乱有关，以波动性病程为特征,10,11
10,由于其他躯体疾病所致的谵妄,0,0
11,与以下一个或更多认知领域下降的证据有关:复杂注意、执行功能、学习和记忆、语言、知觉运动或社会认知,12,13
12,由于其他躯体疾病所致的重度或轻度神经认知障碍，伴行为紊乱,0,0
13,代表了与先前人格模式相比发生的改变,14,15
14,由于其他躯体疾病所致的人格改变，攻击型,0,0
15,由于其他躯体疾病所致的由于其他躯体疾病所致的,0,0
16,发生在安想或幻觉的背景下,17,18
17,精神病性障碍[如精神分裂症。参见用于鉴别诊断的安想树形图或幻觉树形图],0,0
18,激越与至少两个典型的紧张症症状有关(如僵直、蜡样屈曲、违扭、作态、刻板运动、模仿言语),19,20
19,紧张症[参见用于鉴别诊断的紧张症症状树形图],0,0
20,发生在心境高涨的背景下,21,22
21,在双相I型障碍或分裂情感性障碍中的躁狂发作,0,0
22,作为一种侵犯他人基本权利并违反与年龄相符的社会规范的模式的一部分,23,26
23,超过18岁,24,25
24,反社会型人格障碍,0,0
25,品行障碍,0,0
26,作为一种以发怒、心境失调和身份紊乱为特征的持续人格紊乱表现的一部分,27,28
27,边缘型人格障碍,0,0
28,存在严重的脾气爆发，与所处情境完全不成比例，伴有爆发间期的持续性愤怒和易激惹,29,30
29,破坏性心境失调障碍,0,0
30,发生与一种争辩、对抗和报复的模式有关,31,21
31,对立违抗障碍,0,0
32,发生与持续的多动、冲动和注意力不集中症状有关,33,35
33,发生在至少两种不同的情境中并引起有临床意义的损害，并且在12岁之前就存在若干症状,34,35
34,注意缺陷/多动障碍,0,0
35,作为对与主要依恋对象分离的反应出现,36,37
36,分离焦虑障碍,0,0
37,发生与社交交流和社交互动上的持续缺陷有关，伴有受限、反复的行为，兴趣或活动模式,38,39
38,自闭症谱系障碍,0,0
39,发生与智力功能的缺陷有关，伴有适应功能的缺陷，并起病于发育期,40,41
40,智力障碍,0,0
41,发生在攻击行为的发作完全与所处情境不成比例的背景下,42,43
42,间歇性暴怒障碍,0,0
43,作为对心理社会应激源的症状反应出现,44,47
44,应激源具有极端的创伤性质(如危及生命的情境)并有对创伤的反复再体验,45,46
45,创伤后应激障碍或急性应激障碍,0,0
46,适应障碍,0,0
47,上述未涵盖的有临床意义的攻击行为代表了个体在心理上的功能失调,48,49
48,未特定的破坏性，冲动控制及品行障碍,0,0
49,非精神疾病的攻击行为(如反社会行为),0,0
