ID,Name,Yes,No
1,冲动性或冲动控制问题,0,0
2,由于某种物质(包括药物)的生理效应所致,3,6
3,与注意和意识的紊乱有关，以波动性病程为特征,4,5
4,物质中毒性谵妄，物质戒断性谵安，药物所致的谵妄,0,0
5,物质中毒，物质戒断，其他的药物不良反应,0,0
6,由于一般躯体疾病的生理效应所致,7,14
7,与注意和意识的紊乱有关，以波动性病程为特征,8,9
8,由于其他躯体疾病所致的谵妄,0,0
9,与以下一个或更多认知领域下降的证据有关:复杂注意、执行功能、学习和记忆、语言、知觉运动或社会认知,10,11
10,由于其他躯体疾病所致的重度或轻度神经认知障碍，伴行为紊乱,0,0
11,代表了与先前人格模式相比发生的改变,12,13
12,由于其他躯体疾病所致的人格改变,0,0
13,由于其他躯体疾病所致的其他特定的精神障碍，由于其他躯体疾病所致的未特定的精神障碍,0,0
14,发生在发作心境高涨、膨胀或易激惹并伴有活动或精力增加的背景下,15,16
15,双相I型障碍或分裂情感性障碍中的躁狂发作,0,0
16,发生在发作抑郁心境或者兴趣或愉悦感减退并伴有特征性抑郁症状(如自杀行为)的背景下,17,18
17,在重性抑郁障碍、双相I型障碍或双相II型障碍或分裂情感性障碍中的重性抑郁发作,0,0
18,与注意力不集中和多动症状有关，起病于12岁之前并有干扰功能的明确证据,19,29
19,注意缺陷/多动障碍,0,0
20,一种侵犯他人基本权利并违反与年龄相符的社会规范的模式的一部分,21,24
21,年龄超过18岁,22,23
22,反社会型人格障碍,0,0
23,品行障碍,0,0
24,一种起病于成年早期的冲动模式的一部分,25,26
25,边缘型人格障碍,0,0
26,控制物质使用的能力受损,27,28
27,物质使用障碍,0,0
28,控制赌博的能力受损,29,39
29,赌博障碍,0,0
30,无法克制暴食的冲动,31,32
31,神经性贪食，暴食障碍,0,0
32,发作性的无法克制放火的冲动,33,34
33,纵火狂,0,0
34,发作性的无法克制偷窃无用物品的冲动,35,36
35,偷窃狂,0,0
36,发作性的无法克制拔除自身毛发的冲动,37,38
37,拔毛癖(拔毛障碍),0,0
38,发作性的无法克制攻击冲动,39,40
39,间歇性暴怒障碍,0,0
40,冲动性产生于对创伤性应激源的反应，伴有侵人症状、回避症状和认知及心境的负性改变,41,44
41,病程超过1个月,42,43
42,创伤性应激障碍,0,0
43,急性应激障碍,0,0
44,上述未涵盖的有临床意义的冲动性代表了个体在心理上或生物学上的功能失调,45,48
45,是对心理社 会应激源适应不良的反应,46,47
46,适应障碍,0,0
47,其他特定的破坏性、冲动控制及品行障碍，未特定的破坏性、冲动控制及品行障碍,0,0
48,“正常的”冲动性,0,0
