ID,Name,Yes,No
1,自伤或自残,0,0
2,失败的自杀企图的一部分,3,4
3,参见用于鉴别诊断的自杀观念或行为树形图,0,0
4,文化上认可的行为(如穿环),5,6
5,“正常”的自残,0,0
6,由于某种物质(包括药物)的生理效应所致,7,10
7,认知损害或精神病性症状的直接后果,8,9
8,物质/药物所致的重度神经认知障碍，物质中毒性谵妄 ，物质戒断性谵安 ，药物所致的谵妄，物质/药物所致的精神病性障碍,0,0
9,物质中毒，物质戒断，其他的药物的不良反应,0,0
10,由于某种一般躯体疾病所致的生理效应,11,14
11,认知损害(如意识错乱)或精神病性症状的直接后果,12,13
12,由于其他躯体疾病所致的神经认知障碍，是由于其他躯体疾病所致的谵妄，由于其他躯体疾病所致的精神病性障碍,0,0
13,由于其他躯体疾病所致的人格改变,0,0
14,自伤的动机是降低烦躁、宣泄愤怒的感受，或降低麻木或“死气沉沉”的感受，与一种冲动及身份紊乱的模式有关,15,16
15,边缘型人格障碍,0,0
16,作为对安想或命令性幻觉的反应,17,18
17,精神病性障碍[如精神分裂症]。参见用于鉴别诊断的安想树形图或幻觉树形图],0,0
18,强迫行为的后果(如频繁地剧烈洗手),19,20
19,强迫症,0,0
20,与反复拔除毛发有关，导致脱发,21,22
21,拔毛癖 (拔毛障碍),0,0
22,与反复搔抓皮肤有关，导致皮肤破损,23,24
23,抓痕(皮肤搔抓)障碍,0,0
24,动机是获得性愉悦感,25,26
25,性受虐障碍,0,0
26,刻板运动的后果(如撞头),27,28
27,刻板运动障碍,0,0
28,伪造的自伤,29,32
29,在没有明显的外部奖赏时，欺骗行为也是显而易见的,30,31
30,做作性障碍,0,0
31,诈病,0,0
32,上述未涵盖的有临床意义的自伤行为代表了个体在心理上或生物学上的功能失调,32,36
33,作为对应激源适应不良的反应,34,35
34,适应障碍,0,0
35,第三部分:非自杀性自我伤害,0,0
36,"“正常的""自伤行为",0,0
