ID,Name,Yes,No
1,过度物质使用,0,0
2,有问题的物质使用模式导致有临床意义的损害或痛苦(如摄入的物质经常比预期的量更大，由于物质使用而放弃社交、职业或娱乐活动，在对身体有害的情况下仍反复使用),3,6
3,存在由于物质对中枢神经系统(CNS)的直接生理效应导致的精神症状,5,4
4,物质使用障碍,0,0
5,物质使用障碍，继续确定是否仍存在物质所致的障碍,6,6
6,存在由于物质对CNS的直接生理效应导致的有临床意义的精神|症状,8,7
7,不是物质所致的障碍,0,0
8,注意和意识紊乱，以波动性病程为特征,9,16
9,证据表明这种紊乱有一种以上的病因(如物质和一般躯体疾病),15,10
10,由药物使用导致的谵妄,11,12
11,药物所致的谵妄,0,0
12,谵妄在物质戒断期间出现,13,14
13,物质戒断性谵妄,0,0
14,物质中毒性谵妄,0,0
15,由于多种病因所致的谵妄,0,0
16,有以下一个或更多认知领域下降的证据:复杂注意、执行功能、学习和记忆、语言、知觉运动或社会认知,17,20
17,证据表明这种紊乱有一种以上的病因(如物质和一般躯体疾病),19,18
18,物质/药物所致的重度或轻度神经认知障碍,0,0
19,由于多种病因所致的重度或轻度神经认知障碍,0,0
20,再次经历致幻剂中毒期间所体验到的知觉症状,21,22
21,致幻剂持续性知觉障碍(闪问),0,0
22,妄想或幻觉是主要临床表现并严重到需要临床关注,23,24
23,物质/药物所致的精神病性障碍(标注是否于中毒或戒断期间起病),0,0
24,高涨、膨胀和/或易激意的心境是主要临床表现并严重到需要临床关注,25,26
25,物质/药物所致的双相及相关障碍，(标注是否于中毒或戒断期间起病),0,0
26,抑郁心境和/或显著下降的兴趣或愉悦感是主要临床表现并严重到需要临床关注,27,28
27,物质/药物所致的抑郁障碍(标注是否于中毒或戒断期间起病),0,0
28,焦虑和/或惊恐发作是主要临床表现并严重到需要临床关注,29,30
29,物质/药物所致的焦虑障碍(标注是否于中毒或戒断期间，或药物使用后起病),0,0
30,强迫思维、强迫行为、皮肤搔抓、拔毛发、其他聚焦于躯体的重复行为，或强迫及相关障碍的其他典型症状是主要临床表现并严重到需要临床关注,31,32
31,物质/药物所致的强迫及相关障碍(标注是否于中毒或戒断期间，或药物使用后起病),0,0
32,有临床意义的性功能失调是主要临床表现并严重到需要临床关注,33,34
33,物质/药物所致的性功能失调(标注是否于中毒或戒断期间，或药物使用后起病),0,0
34,突出且严重的失眠紊乱是主要临床表现并严重到需要临床关注,35,36
35,物质/药物所致的睡眠障碍(标注是否于中毒或撤药/戒断期间起病),0,0
36,在物质使用期间出现的有临床意义的有问题的行为或心理改变,37,38
37,物质中毒,0,0
38,由于减少或中断物质使用所致的综合征,39,40
39,物质戒断,0,0
40,上述未涵盖的物质所致的有临床意义的症状,41,42
41,未特定的物质相关障碍,0,0
42,不是物质所致的障碍(物质所致的症状无临床意义),0,0
