ID,Name,Yes,No
1,记忆丧失,0,0
2,由于某种物质(包括药物)的生理效应所致,3,8
3,与注意和意识紊乱有关，以波动性病程为特征,4,5
4,物质中毒性谵妄，物质戒断性谵安，药物所致的谵妄,0,0
5,记忆丧失是主要临床表现并严重到需要临床关注,6,7
6,物质/药物所致的重度或轻度神经认知障碍,0,0
7,物质中毒，物质戒断，其他的药物不良反应,0,0
8,由于某种一般躯体疾病所致的生理效应,9,12
9,与注意和意识紊乱有关，以波动性病程为特征,10,11
10,由于其他躯体疾病所致的谵妄,0,0
11,由于其他躯体疾病所致的重度或轻度神经认知障碍 [为了区分重度和轻度神经认知障碍以及确定病因类型，参见用于鉴别诊断的认知损害树形图 ],0,0
12,存在以两个或更多不同的人是格状态为特征的身份瓦解,13,14
13,分离性身份障碍,0,0
14,对极端创伤性事件的记忆丧失,15,19
15,存在侵人症状、回避与事件有关的刺激、认知和心境的负性改变以及警觉性和活动的改变,16,19
16,病程超过1个月,17,18
17,创伤后应激障碍,0,0
18,急性应激障碍,0,0
19,对其他个人信息的记忆丧失，与普通的健忘不一致,20,21
20,分离性遗忘症,0,0
21,伪装的记忆丧失或损害,22,25
22,在没有明显的外部奖赏时，欺骗行为也是显而易见的,23,24
23,做作性障碍,0,0
24,诈病,0,0
25,作为重性抑郁发作(“假性痴呆”)的有关特征出现,26,27
26,在重性抑郁障碍、双相I型障碍或双相II型障碍或分裂情感性障碍中的重性抑郁发作,0,0
27,伴随衰老的进程出现但鉴于个体的年龄，仍在正常范围,28,29
28,与衰老有关的认知下降,0,0
29,"“正常的""健忘",0,0
