ID,Name,Yes,No
1,认知损害,0,0
2,仅有记忆丧失,3,4
3,参见用于鉴别诊断的记忆丧失树形图,0,0
4,以病程波动的注意和意识的紊乱为特征,5,16
5,证据表明谵妄有一种以上的病因(如一种以上作为病因的一般躯体疾病，一般躯体疾病和物质中毒),6,7
6,由于多种病因所致的谵妄 ,0,0
7,由于某种物质(包括药物)的生理效应所致,8,13
8,由药物使用所致的谵妄,9,10
9,药物所致的谵妄,0,0
10,在物质戒断期间起病,11,12
11,物质戒断性谵妄,0,0
12,物质中毒性谵妄,0,0
13,由于某种一般躯体疾病的生理效应所致,14,15
14,由于其他躯体疾病所致的谵妄,0,0
15,其他特定的谵妄，未特定的谵妄,0,0
16,发生在精神病性紊乱持续至少1个月的背景下，特征是存在活跃期症状(即妄想、幻觉、言语瓦解、明显瓦解的或紧张症行为、阴性症状)及前驱期或残留期,17,21
17,认知症状(如陈述性记忆和工作记忆、语言功能和其他执行功能的减退 )可以完全用精神病性障碍来解释,18,21
18,病程为6个月或以上,19,20
19,精神分裂症,0,0
20,精神分裂症样障碍,0,0
21,发生在反复的躁狂发作和重性抑郁发作的背景下,22,24
22,认知症状完全可以解释为双相I型障碍的有关特征,23,24
23,双相I型障碍,0,0
24,发生在一次抑郁心境发作或者兴趣或愉悦感减退的背景下，伴有特征性的抑郁症状,25,27
25,认知症状(即思考或集中注意力的能力减退)完全可以用重性抑郁发作来解释,26,27
26,在重性抑郁障碍、双相I型障碍或双相Ⅱ型障碍，或分裂情感性障碍中的重性抑郁发作,0,0
27,在至少2年的多数日子里，抑郁心境持续存在,28,30
28,认知症状(即注意力不集中或难以做决定)完全可以用持续性抑郁障碍来解释,29,30
29,持续性抑郁障碍,0,0
30,周期性的烦躁心境在月经开始前1周出现并在月经结束后的1周消失,31,33
31,认知症状(即难以集中注意力) 完全可以用经前期烦躁障碍来解释,32,33
32,经前期烦躁障碍,0,0
33,伴有干扰功能的其他注意力不集中和/或多动/冲动症状，存在于至少两个场合中，起病于12岁之前,34,36
34,认知症状(即注意力不集中或难以做决定)完全可以用持续性抑郁障碍来解释,35,36
35,注意缺陷/多动障碍,0,0
36,发生在对创伤性应激源做出反应的背景下，伴有侵人症状、回避与创伤有关的刺激、认知和心境的负性改变以及警觉性和反应性的改变,37,39
37,认知症状(即难以集中注意力)完全可以用创伤性应激障碍来解释,38,39
38,创伤后应激障碍或急性应激障碍,0,0
39,发生在对很多事件或情境过度焦虑和担心的背景下，持续至少6个月,40,42
40,认知症状(如难以集中注意力或头脑一片空白)完全可以用广泛性焦虑障碍来解释,41,42
41,广泛性焦虑障碍,0,0
42,起病于发育期并在概念、社交和实用领城存在智力及适应功能的缺陷,43,49
43,无法接受系统的智力功能评估,44,45
44,全面发育迟缓,0,0
45,存在智力功能缺陷(使用临床评估和标准化测验确认)和随之出现的适应功能缺陷，起病于发育期,46,49
46,丧失先前习得的认知技能，如在严重创伤性脑损伤中那样,48,47
47,智力障碍 (智力发育障碍),0,0
48,智力障碍(继续确定是否还需要重度或轻度神经认知障碍的诊断),49,49
49,神经心理测验或其他量化评估证实存在显著的损害，并且这些缺陷干扰了个体的独立性,50,85
50,证据表明这种紊乱有一种以上的病因(如脑血管病和阿尔茨海默病),51,52
51,由于多种病因所致的重度神经认知障碍,0,0
52,隐匿起病且损害逐渐进展，出现在已确诊的帕金森病中,53,56
53,没有证据表明存在混合性病因，并且帕金森病明确发生在神经认知障碍起病前,54,55
54,可能由于帕金森病所致的重度神经认知障碍(首先编码帕金森病),0,0
55,可疑由于帕金森病所致的重度神经认知障碍,0,0
56,症状出现在创伤性脑损伤后，并经过急性的损伤后阶段，症状仍持续存在,57,58
57,由于创伤性脑损伤所致的重度神经认知障碍,0,0
58,经证实感染HIV并且不能用继发性脑病如疱疹性脑炎或隐球菌病来解释,59,60
59,由于HIV感染所致的重度神经认知障碍(首先编码HIV感染),0,0
60,隐匿起病、逐渐进展，并有证据表明症状是享廷顿氏病的直接后果,61,62
61,由于享廷顿氏病所致的重度神经认知障碍(首先编码亨廷顿氏病),0,0
62,隐匿起病、快速进展，并有朊病毒病的生物标记物证据,63,64
63,由于朊病毒病所致的重度神经认知障碍(首先编码朊病毒病),0,0
64,隐匿起病、逐渐进展，并有行为症状(如脱抑制、情感淡漠、缺乏共情、强迫行为、口欲亢进)或语言能力的显著下降;相对保留了学习、记忆和知觉运动的功能,65,68
65,额颞叶神经认知障碍致病基因突变或神经影像中发现不成比例的额叶或颞叶受损的证据,66,67
66,可能的额颞叶神经认知障碍(首先编码额颞叶疾病),0,0
67,可疑的额颞叶神经认知障碍,0,0
68,隐匿起病且逐渐进展，伴有以下任何一种表现: 波动性认知功能，伴注意力和警觉性的显著变化;反复出现完整且详尽的视幻觉:在认知下降后自发出现帕金森氏综合征的特征表现;快速眼动睡眠行为障碍;或严重的神经阻滞剂敏感性,69,72
69,有以下核心特征中的两个:波动性认知功能、视幻觉、在认知下降后自发出现帕金森氏综合征的特征表现，或一个核心特征和快速眼动睡眠行为障碍或严重的神经阻滞剂敏感性,70,71
70,可能的重度神经认知障碍伴路易体(首先编码路易体病) ,0,0
