ID,Name,Yes,No
1,躯体疾病作为病因,0,0
2,以病程波动的注意和意识的紊乱为特征,3,6
3,证据表明谵妄有一种以上的病因(如种以上作为病因的一般躯体疾病，一般躯体疾病和物质中毒),4,5
4,由于多种病因所致的谵妄,0,0
5,由于其他躯体疾病所致的谵妄,0,0
6,有一个或更多认知领域(复杂注意、执行功能、学习和记忆、语言、知觉运动或社会认知)显著受损的证据，最好通过神经心理测验或其他量化的评估来证实，同时这些缺陷干扰到了个体的独立性,7,40
7,证据表明这种紊乱有一种以上的病因(如脑血管病和阿尔茨海默病),8,9
8,由于多种病因所致的重度神经认知障碍,0,0
9,隐匿起病且损害逐渐进展，出现在已确诊的帕金森病中,10,13
10,没有证据表明存在混合性病因，并且帕金森病明确发生在神经认知障碍起病前,11,12
11,可能由于帕金森病所致的重度神经认知障碍(首先编码帕金森氏病),0,0
12,可疑由于帕金森病所致的重度神经认知障碍,0,0
13,症状出现在创伤性脑损伤后，并经过急性的损伤后阶段，症状仍持续存在,14,15
14,由于创伤性脑损伤所致的重度神经认知障碍,0,0
15,经证实感染HIV并且不能用继发性脑病如疱疹性脑炎或隐球菌病来解释,16,17
16,由于HIV感染所致的重度神经认知障碍(首先编码HIV感染),0,0
17,隐匿起病、逐渐进展，并有证据表明症状是享延顿氏病的直接后果,18,19
18,由于亨廷顿氏病所致的重度神经认知障碍(首先编码亨廷顿氏病),0,0
19,隐匿起病、快速进展，并有朊病毒病的生物标记物证据,20,21
20,由于朊病毒病所致的重度神经认知障碍(首先编码朊病毒病),0,0
21,隐匿起病、逐渐进展，并有行为症状(如脱抑制、情感淡漠、缺乏共情、强迫行为， 口欲亢进)或语言能力的显著下降，相对保留了学习、记忆和知觉运动的功能,22,25
22,额颞叶神经认知障碍致病基因突变或神经影像中发现不成比例的额叶或颞叶受损的证据,23,24
23,可能的额颞叶神经认知障碍(首先编码额颞叶疾病) ,0,0
24,可疑的额颞叶神经认知障碍,0,0
25,隐匿起病且逐渐进展，伴有以下任何一种表现: 波动性认知功能，伴注意力和警觉性的显著变化;反复出现完整且详尽的视幻觉;在认知下降后自发出现帕金森氏综合征的特征表现;快速眼动睡眠行为障碍;或严重的神经阻滞剂敏感性,26,29
26,有以下核心特征中的两个:波动性认知功能、视幻觉、在认知下降后自发出现帕金森氏综合征的特征表现;或一个核心特征和快速眼动睡眠行为障碍或严重的神经阻滞剂敏感性,27,28
27,可能的重度神经认知障碍伴路易体(首先编码路易体病),0,0
28,可疑的重度神经认知障碍伴路易体,0,0
29,存在脑血管病以及与血管性病因相一致的特征(如认知缺陷的起病与血管事件相关或有证据表明复杂注意和额叶执行功能显著下降),30,33
30,神经影像学支持脑实质的损伤是由于脑血管病所致，神经认知综合征在时间上与有记录的脑血管事件相关，或同时存在脑血管病的临床和遗传学证据,31,32
31,可能的重度血管性神经认知障碍,0,0
32,可疑的重度血管性神经认知障碍,0,0
33,隐匿起病，在至少两个认知领域有逐渐进展的损害,34,37
34,阿尔茨海默病的致病基因突变或下列三项全部存在:记忆和某个其他认知领域下降的明确证据，认知下降稳步进展、无延长的平台期，以及无证据表明存在混合性病因,35,36
35,可能的由于阿尔茨海默病所致的重度神经认知障碍(首先编码阿尔采末氏病),0,0
36,可疑的由于阿尔茨海默病所致的重度神经认知障碍,0,0
37,从病史、体格检查、或实验室发现获得的证据表明另一种躯体疾病(如多发性硬化症)是症状的病因,38,39
38,由于其他躯体疾病所致的重度神经认知障碍(首先编码其他躯体疾病) ,0,0
39,未特定的神经认知障碍,0,0
40,与已证实的表现水平相比，存在一定的认知下降，并伴有一定的认知表现损害，但尚未干扰日常活动的独立性,41,44
41,由于某种一般躯体疾病的直接效应所致,42,43
42,由于其他躯体疾病所致的轻度神经认知障碍*(基于以上用于重度神经认知障碍的病因决策点),0,0
43,未特定的神经认知障碍,0,0
44,突出的妄想或幻觉占主导,45,46
45,由于其他躯体疾病所致的精神病性障碍,0,0
46,突出且持续异常的心境高涨、膨胀和/或易激惹和异常增加的活动或精力占主导,47,48
47,由于其他躯体疾病所致的双相及相关障碍,0,0
48,突出且持续的抑郁心境或者兴趣或愉悦感的明显减退占主导,49,50
49,由于其他躯体疾病所致的抑郁障碍,0,0
50,突出的惊恐发作或焦虑,51,52
51,由于其他躯体疾病所致的焦虑障碍,0,0
52,突出的强迫思维;强迫行为;对外貌的先占观念;囤积行为;搔抓皮肤、拔毛发，及其他聚焦于身体的重复行为;或强迫及相关障碍的其他典型症状,53,54
53,由于其他躯体疾病所致的强迫及相关障碍,0,0
54,至少有三个紧张症症状:木僵、僵住、蜡样屈曲、缄默、违扭、作态、装相、刻板运动、激越、扮鬼脸、模仿言语或模仿动作,55,56
55,由于其他躯体疾病所致的紧张症障碍,0,0
56,与先前人格模式相比发生的改变,57,58
57,由于其他躯体疾病所致的人格改变,0,0
58,上述未涵盖的有临床意义的症状在病因学上与一般躯体疾病相关并代表了个体在心理上或生物学上的功能失调,59,60
59,由于其他躯体疾病所致的其他特定的精神障碍,0,0
60,无精神障碍(症状无临床意义),0,0
