ID,Name,Yes,No
1,儿童或青少年中的行为问题,0,0
2,与物质使用( 包括药物)有关,3,7
3,由于某种物质(或药物)对中枢神经系统的直接生理效应所致,4,5
4,物质/药物所致的障碍，物质中毒，物质戒断，其他的药物不良反应,0,0
5,与有问题的物质使用模式相关(如为获得毒品的非法行为),6,7
6,物质使用障碍,0,0
7,由于一般躯体疾病的生理效应所致,8,15
8,与注意和意识的紊乱有关，以波动性病程为特征,9,10
9,由于其他躯体疾病所致的谵妄,0,0
10,与以下一个或更多认知领域下降的证据有关: 复杂注意、执行功能、学习和记忆、语言、知觉运动或社会认知,11,12
11,由于其他躯体疾病所致的重度或轻度神经认知障碍，伴行为紊乱,0,0
12,代表了与先前人格模式相比发生的改变,13,14
13, 由于其他躯体疾病所致的人格改变,0,0
14,由于其他躯体疾病所致的其他特定的精神障碍，由于其他躯体疾病所致的未特定的精神障碍,0,0
15,发生在严重的脾气爆发的背景下，完全与所处情境不成比例，伴有爆发间期的持续性愤怒和易激惹,16,17
16,破坏性心境失调障碍,0,0
17,持续多动、冲动和注意力不集中的症状模式的一部分,18,20
18,发生在至少两种不同的场合并引起有临床意义的损害，在12岁之前就有若干症状,19,20
19,注意缺陷/多动障碍,0,0
20,发生与一种争辩、对抗和报复的模式有关,21,24
21,鉴于儿童的发育年龄.行为的持续性和频率超出正常界限,22,23
22,对立违抗障碍,0,0
23,“正常”的对立行为,24,24
24,发生与智力功能缺陷和伴随的适应功能缺陷有关，起病于发育期,25,26
25,智力障碍(智力发育障碍）,0,0
26,作为刻板运动的后果出现,27,30
27,发生与持续的社交交流和社交互动缺陷有关，伴有受限、重复的行为、兴趣或活动模式,28,29
28,自闭症谱系障碍,0,0
29,刻板运动障碍,0,0
30,作为反社会行为模式的一部分出现,31,32
31,品行障碍,0,0
32,特征是故意、有目的的放火，与行动前的唤起有关,33,34
33,纵火狂,0,0
34,特征是反复地无法抵制偷窃物品的冲动，所偷物品并非需要或为其金钱价值,35,36
35,偷窃狂,0,0
36,与周期性高涨、欣快或易激惹的心境有关，伴精力增加,37,38
37,双相I型障碍和双相II型障碍中的，躁狂发作或轻躁狂发作，分裂情感性障碍或环性心境障碍,0,0
38,与抑郁或易激惹的心境发作有关，伴有其他特征性的抑郁症状(如无价值感),39,40
39,在重性抑郁障碍或分裂情感性障碍中的重性抑郁发作;持续性抑郁障碍,0,0
40,与精神病性症状有关,41,42
41,精神病性障碍[如，精神分裂症 ]。参见用于鉴别诊断的妄想树形图或用于幻觉的决策树形图,0,0
42,对心理社会应激源的症状性反应,43,46
43,应激源具有极端的创伤性(如威胁生命的情境)并存在对应激源的反复再体验,44,45
44,创伤后应激障碍或急性应激障碍,0,0
45,适应障碍,0,0
46,上述未涵盖的有临床意义的行为问题代表了个体在心理上或生物学上的功能失调,47,48
47,其他特定的破坏性、冲动控制及品行障碍，未特定的破坏性、冲动控制及品行障碍,0,0
48,为了获益或复仇的非法行为,49,50
49,儿童或青少年的反社会行为( V或Z编码),0,0
50,与年龄相符的喧闹行为,0,0
