ID,Name,Yes,No
1,言语紊乱(包括无条理、受损的或不寻常的言语),0,0
2,由于某种物质(包括药物)的生理效应所致,3,8
3,与注意和意识的紊乱有关，以波动性病程为特征,4,5
4,物质中毒性谵妄，物质戒断性谵妄， 药物所致的谵妄,0,0
5,与以下一个或更多认知领域下降的证据有关:复杂注意、执行功能、学习和记忆、语言、知觉运动或社会认知,6,7
6,物质/药物所致的神经认知障碍,0,0
7,物质中毒，物质戒断，其他的药物不良反应,0,0
8,由于一般躯体疾病的生理效应所致,9,14
9,与注意和意识的紊乱有关，以波动性病程为特征,10,11
10,由于其他躯体疾病所致的谵安,0,0
11,与以下一个或更多认知领域下降的证据有关:复杂注意、执行功能、学习和记忆、语言、知觉运动或社会认知,12,13
12,由于其他躯体疾病所致的重度或轻度神经认知障碍,0,0
13,失语(不是种精神障碍 ),0,0
14,快速迫促的言语伴有主观的思维奔逸感，与欣快、膨胀或易激惹的心境和精力增加有关,15,16
15,在双相I型障碍中的躁狂发作或分裂情感性障碍,0,0
16,言语迟缓发生在有抑郁心境发作、兴趣或愉悦感减退和抑郁的其他特征性症状的背景下,17,18
17,重性抑郁障碍、双相I型障碍或双相I型障碍或分裂情感性障碍中的重性抑郁发作,0,0
18,模仿他人的言语(模仿言语),19,20
19,紧张症症状[参见用于鉴别诊断的紧张症症状树形图],0,0
20,无条理的言语与妄想、幻觉明显瓦解的或紧张症行为或阴性症状(如情感表达减少或意志减退)有关,21,26
21,病程至少6个月,22,23
22,精神分裂症,0,0
23,病程1个月至6个月,24,25
24,精神分裂症样障碍,0,0
25,短暂精神病性障碍,0,0
26,言语困难与由于理解和生成方面的缺陷所致的语言习得和使用上的问题有关,27,28
27,语言障碍,0,0
28,妨碍可理解性的语音生成困难,29,30
29,语音障碍,0,0
30,言语的正常流畅性和时间模式上的紊乱，相对年龄和语言技巧而言是不恰当的,31,32
31,童年起病的流畅性障碍(口吃) ,0,0
32,言语和非言语交流的社交使是用上的缺陷,33,36
33,伴有发展和理解人际关系上的缺陷，社交情感互动中的缺陷，以及受限、重复的行为、兴趣或活动模式,34,35
34,自闭症谱系障碍,0,0
35,社交(语用)交流障碍,0,0
36,反复的、节律性的发声,37,38
37,抽动障碍,0,0
38,上述未涵盖的有临床意义的言语紊乱代表了个体在心理上或生物学上的功能失调,39,40
39,未特定的交流障碍,0,0
40,言语上的“正常”变异,0,0
