ID,Name,Yes,No
1,随境转移,0,0
2,由于某种物质(包括药物)的直接效应所致,3,4
3,物质中毒，物质戒断,0,0
4,由于一般躯体疾病的直接效应所致,5,10
5,与注意和意识的紊乱有关，以波动性病程为特征,6,7
6,由于其他躯体疾病所致的谵妄,0,0
7,与以下一个或更多认知领域下降的证据有关:复杂注意、执行功能、学习和记忆、语言、知觉运动或社会认知,8,9
8,由于其他躯体疾病所致的重度或轻度神经认知障碍,0,0
9,由于其他躯体疾病所致的其他特定的精神障碍，由于其他躯体疾病所致的未特定的精神障碍,0,0
10,与无法滤除不重要的外部刺激相关，伴有其他躁狂症状,11,12
11,双相I型障碍或分裂情感性障碍中的躁狂发作,0,0
12,与无法集中注意力相关，伴有其他抑郁症状,13,14
13,重性抑郁障碍，双相I型障碍或双相II型障碍，或分裂情感性障碍中的重性抑郁发作，持续性抑郁障碍,0,0
14,与安想或幻觉有关,15,16
15,精神病性障碍[如精神分裂症 ]。参见用于鉴别诊断的妄想树形图,0,0
16,伴有其他的注意力不集中和/或多动/冲动症状,17,18
17,注意缺陷/多动障碍,0,0
18,集中注意力的问题作为对创伤性应激源的反应出现,19,22
19,持续至少1个月,20,21
20,创伤后应激障碍,0,0
21,急性应激障碍,0,0
22,与难以集中注意力有关，伴有至少6个月的过度焦虑和担心,23,24
23,广泛性焦虑障碍,0,0
24,上述未涵盖的有临床意义的随境转移代表了个体在心理上或生物学上的功能失调,25,28
25,作为对心理社会应激源的反应出现,26,27
26,适应障碍,0,0
27,其他特定的注意缺陷/多动障碍，未特定的注意缺陷/多动障碍,0,0
28,“正常的”随境转移,0,0
