ID,Name,Yes,No
1,妄想,0,0
2,一种文化或宗教上认可的信念系统的表现,3,4
3,非病理性的严格遵守的信念，无精神障碍,0,0
4,由于某种物质(包括药物)的生理效应所致,5,10
5,与注意和意识的紊乱有关，以波动性病程为特征,6,7
6,物质中毒性谵妄，物质戒断性谵妄，药物所致的谵妄,0,0
7,妄想为主要临床表现且严重到需要临床关注,8,9
8,物质/药物所致的精神障碍,0,0
9,物质中毒，物质戒断，其他的药物不良反应,0,0
10,由于一般躯体疾病的生理效应所致,11,16
11,与注意和意识的紊乱有关，病程波动,12,13
12,由于其他躯体疾病所致的谵妄,0,0
13,与以下一个或更多认知领域下降的证据有关:复杂注意、执行功能、学习和记忆、语言、知觉运动或社会认知,14,15
14,由于其他躯体疾病所致的重度或轻度神经认知障碍，伴行为紊乱,0,0
15,由于其他躯体疾病所致的精神病性障碍,0,0
16,仅发生在高涨、膨胀或易激惹的心境发作的背景下，伴有精力增加,17,18
17,双相I型障碍中的躁狂发作伴精神病性特征,0,0
18,仅发生在发作抑郁心境或是兴趣或愉悦感减退的背景下，伴有特征性的抑郁症状,19,20
19,重性抑郁障碍或双相Ⅰ型障碍，或双相II型障碍中的重性抑郁发作伴精神病性特征,0,0
20,妄想持续1个月或更久,21,41
21,伴有幻觉、 言语瓦解、明显瓦解的或紧张症行为，或阴性症状,22,33
22,重性抑郁或躁狂发作的历史,23,25
23,在一个连续的疾病周期中，精神病性症状与心境发作并存,24,25
24,在一个连续的疾病周期中，心境发作在疾病活跃期和残留期的总病程中占据少数时间,25,28
25,病程至少6个月,26,27
26,精神分裂症[如果有重性抑郁或躁狂发作史，则加上共病的双相I型障碍、双相II型障碍，或重性抑郁障碍],0,0
27,精神分裂症[如果有重性抑郁或躁狂发作史，则加上共病的双相I型障碍、双相II型障碍，或重性抑郁障碍 ],0,0
28,在终生的病程中，在没有重性抑郁发作或躁狂发作的情况下，妄想或幻觉持续至少2周,29,30
29,分裂情感性障碍,0,0
30,精神病性症状仅在心境发作时出现,31,32
31,双相I型障碍、双相Ⅱ型障碍，或重性抑郁障碍，伴精神病性特征,0,0
32,其他特定的精神分裂症谱系及其他精神病性障碍，未特定的精神分裂症谱系及其他精神病性障碍,0,0
33,有重性抑郁或躁狂发作的历史,34,35
34,相对于安想周期的病程而言，心境发作的总病程是短暂的,35,38
35,除妄想外，功能未显著受损,36,37
36,妄想障碍[如果有重性抑郁或躁狂发作史，则加上共病的双相I型障碍、双相II型障碍，或重性抑郁障碍 ],0,0
37,其他特定的精神分裂症谱系及其他精神病性障碍，未特定的精神分裂症谱系及其他精神病性障碍,0,0
38,妄想仅出现在心境发作期间,39,40
39,"双相I型障碍、双相Ⅱ型障碍，或重性抑郁障碍,伴精神病性特征",0,0
40,其他特定的精神分裂症谱系及其他精神病性障碍，未特定的精神分裂症谱系及其他精神病性障碍,0,0
41,妄想的病程超过1天但少于1个月,42,43
42,短暂精神病性障碍,0,0
43,上述未涵盖的妄想引起有临床意义的损害或痛苦,44,45
44,其他特定的精神分裂症谱系及其他精神病性障碍，未特定的精神分裂症谱系及其他精神病性障碍,0,0
45,非病理性的妄想,0,0
