ID,Name,Yes,No
1,幻觉,0,0
2,由于某种物质(包括药物)的生理效应所致,3,8
3,"与注意和意识的紊乱有关,以波动性病程为特征",4,5
4,"物质中毒行谵妄,物质戒断性谵妄,药物所致的谵妄",0,0
5,幻觉为主要临床表现且严重到需要临床关注,6,7
6,物质/药物所致的精神病性障碍,0,0
7,"物质中毒,物质戒断,其他的药物不良反应",0,0
8,由于一般躯体疾病的直接生理效应所致,9,14
9,"与注意和意识的紊乱有关,以波动性病程为特征",10,11
10,由于其他躯体疾病所致的谵妄,0,0
11,"与以下一个人或更多认知领域下降的证据有关:复杂注意,执行功能,学习和记忆,语言,知觉运动或社会认知",12,13
12,"由于其他躯体疾病所致的重度或轻度神经认知障碍,伴行为紊乱",0,0
13,由于其他躯体疾病所致的精神病性障碍,0,0
14,"有完整自知力的幻觉体验,不伴有其他精神病性症状,通常以多种感觉形势出现,并具有奇异的或幼稚的内容(""假性幻觉"")",15,16
15,转换障碍,0,0
16,幻觉体验是文化上认可的,17,18
17,无精神障碍,0,0
18,"仅出现在高涨,膨胀或易激惹的心境发作的背景下,伴有精力增加",19,20
19,双相I型障碍中的躁狂发作伴精神性特征,0,0
20,"仅出现在发作抑郁心境或是兴趣或愉悦感减退的背景下,伴有特征性的抑郁症状",21,22
21,重性抑郁障碍或双相I型障碍或双相II型障碍中的重性抑郁发作伴精神病性特征,0,0
22,幻觉持续一个月或以上,23,35
23,"伴有妄想,言语瓦解,明显瓦解的或紧张症行为或阴性症状",24,34
24,重性抑郁或躁狂发作的历史,25,27
25,"在一个连续的疾病周期中,精神病性症状与心境发作并存",26,27
26,"在一个连续的疾病周期中,心境发作在疾病活跃和残留期的总病程中占据少数时间",27,30
27,病程至少6个月,28,29
28,"精神分裂症[如果有重性抑郁或躁狂发作史,则加上共病的双相I型障碍,双相II型障碍或重性抑郁障碍]",0,0
29,"精神分裂症样障碍[如果有重性抑郁或躁狂发作史,则加上共病的双相I型障碍,双相II型障碍或重性抑郁障碍]",0,0
30,"在终生的病程中,在没有重性抑郁发作或躁狂发作的情况下,妄想或幻觉持续至少2周",31,32
31,分裂情感性障碍,0,0
32,精神病性症状仅在心境发作时出现,33,34
33,"双相I型障碍或双相II型障碍伴精神病性特征;重性抑郁障碍,单词或反复发作,伴精神病性特征",0,0
34,"其他特定的精神分裂症谱系及其他精神分裂症障碍,未特定的精神分裂症谱系及其他精神病性障碍",0,0
35,幻觉的病程超过1天但少于一个月,36,37
36,短暂精神病性障碍,0,0
37,上述未涵盖的幻觉引起有临床意义的损害或痛苦,38,39
38,其他特定的精神分裂症谱系及其他精神分裂症障碍,0,0
39,非病理性幻觉,0,0
