ID,Name,Yes,No
1,高涨或膨胀的心境,0,0
2,由于某种物质(包括药物)的生理效应所致,3,6
3,高涨或膨胀的心境为主要临床表现并严重到需要临床关注,4,5
4,物质/药物所致的双相障碍,0,0
5,物质中毒，物质戒断，其他的药物不良反应,0,0
6,由于某种一般躯体疾病的生理效应所致,7,10
7,与以下一个或更多认知领域下降的证据有关:复杂注意、执行功能、学习和记忆、语言、知觉运动或社会认知,8,9
8,由于其他躯体疾病所致的重度或轻度神经认知障碍，伴行为紊乱,0,0
9,由于其他躯体疾病所致的双相及相关障碍,0,0
10,符合躁狂发作的诊断标准(即至少1周的心境高涨或膨胀伴活动或精力增加并有至少三个其他特征性症状严重到引起明显的损害),11,12
11,躁狂发作,14,14
12,符合轻躁狂发作的诊断标准(即至少4天的心境高涨或膨胀伴活动或精力增加并有至少三个其他特征性症状，但尚未严重到引起明显的损害),13,14
13,轻躁狂发作,14,14
14,目前或既往有躁狂发作,15,20
15,妄想或幻觉史,17,16
16,双相I型障碍,0,0
17,精神病性症状仅出现在躁狂或重性抑郁发作期间,18,19
18,"双相I型障碍,伴精神病性特征",0,0
19,精神分裂症谱系或其他精神病性障碍[参见用于鉴别诊断的妄想树形图或幻觉树形图],0,0
20,目前或既往有轻躁狂发作并有至少一次重性抑郁发作,21,26
21,妄想或幻觉史,23,22
22,双相II型障碍,0,0
23,精神病性症状仅出现在重性抑郁发作期问,24,25
24,双相 II型障碍伴精神病性特征,0,0
25,精神分裂症谱系或其他精神病性障碍[参见用于鉴别诊断的妄想树形图或幻觉树形图 ],0,0
26,2年以上的轻躁狂症状和周期性抑郁心境,27,28
27,环性心境障碍,0,0
28,高涨或欣快的心境仅限于赌博时期,29,32
29,持续并成问题的赌博行为导致有临床意义的损害或痛苦,30,31
30,赌博障碍,0,0
31,正常的赌博行为,0,0
32,上述术涵盖的有临床意义的躁狂或轻躁狂症状代表了个体在心理上或生物学上的功能失调,33,34
33,其他特定的双相及相关障碍，未特定的双相及相关障碍,0,0
34,“正常的”高涨或欣快的心境,0,0
