ID,Name,Yes,No
1,易激惹心境,0,0
2,由于某种物质(包括药物)的生理效应所致,3,6
3,易激惹心境为主要临床表现并严重到需要临床关注,4,5
4,物质/药物所致的双相障,0,0
5,物质中毒，物质戒断，其他的药物不良反应,0,0
6,由于某种一般躯体疾病的生理效应所致,7,10
7,与以下一个或更多认知领域下降的证据有关:复杂注意、执行功能、学习和记忆、语言、知觉运动或社会认知,8,9
8,由于其他躯体疾病所致的重度或轻度神经认知障碍，伴行为紊乱,0,0
9,由于其他躯体疾病所致的双相及相关障碍,0,0
10,符合躁狂发作的诊断标准( 即至少1周的心境高涨或膨胀伴活动或精力增加并有至少四个其他特征性症状严重到引起明显的损害),11,13
11,躁狂发作,14,14
12,符合轻躁狂发作的诊断标准(即至少4天的心境高涨或膨胀伴活动或精力增加是并有至少四个其他特征性症状，但尚未严重到引起明显的损害),13,14
13,轻躁狂发作,14,14
14,目前或既往有躁狂发作,15,20
15,妄想或幻觉史,17,16
16,双相I型障碍,0,0
17,精神病性症状仅出现在躁狂或重性抑郁发作期间,18,19
18,双相I型障碍，伴精神病性特征,0,0
19,精神分裂症谱系或其他精神病性障碍[参见用于鉴别诊断的妄想树形图或幻觉树形图 ],0,0
20,目前或既往有轻躁狂发作并有至少一次重性抑郁发作,21,26
21,妄想或幻觉史,23,22
22,双相II型障碍,0,0
23,精神病性症状仅出现在重性抑郁发作期间,24,25
24,双相Ⅱ型障碍，伴精神病性特征,0,0
25,精神分裂症谱系或其他精神病性障碍[参见用于鉴别诊断的安想树形图或幻觉树形图 ],0,0
26,2年以上的轻躁狂症状和周期性抑郁心境,27,28
27,环性心境障碍,0,0
28,发生仅与周期性抑郁心境有关,29,35
29,至少2周的抑郁心境或兴趣减退附加相关的特征性症状(如体重和食欲改变、睡眠改变、疲乏、自杀想法),30,31
30,重性抑郁障碍,0,0
31,抑郁心境在至少2年的多数日子里出现，并伴有相关症状,32,33
32,持续性抑郁障碍,0,0
33,抑郁心境规律地在月经开始前1周出现并在月经结束后的1周消失,34,35
34,经前期烦躁障碍,0,0
35,发生在严重的脾气爆发的背景下，与所处情境完全不相称，在爆发间期伴有持续的愤怒和易激惹,36,37
36,破坏性心境失调障碍,0,0
37,发生与争辩、对抗和报复的模式有关,38,39
38,对立违抗障碍,0,0
39,以一种持续而普遍的模式出现，表现为人际关系、自我形象和情感不稳定并有明显的冲动，始于成年早期,40,41
40,边缘型人格障碍,0,0
41,以一种持续而普遍的模式出现，表现为漠视并侵犯他人的权利，始于15岁,42,43
42,反社会型人格障碍,0,0
43,上述未涵盖的有临床意义的易激惹表现代表了个体在心理上或生物学上的功能失调,44,47
44,对应激源适应不良的反应,45,26
45,适应障碍,0,0
46,其他特定的双相及相关障碍，未特定的双相及相关障碍,0,0
47,“正常的”易激惹表现,0,0
